Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Debidaspur,936,455,218,1,220,16,82,4,24,0,0,0,1,0,0,0,1,0,112,6,15,0,98,105,194,439,4,12,106.31,1.84,0.62,423,26,4,7,412,2,0,0,1,33,1940,899,5,1002,938,0,228,413,405,353,245,156,99,35,6,892,928,81,18,2,609,615,93,502,67,21,13,20,2,1,0,4,2,1,0,1,1929
Nialish Para,902,390,105,0,242,43,27,32,65,1,1,1,1,0,0,0,0,0,35,15,17,4,142,69,215,376,13,1,29.40,22.74,8.66,279,79,32,0,231,26,1,69,0,63,1565,620,0,823,742,0,95,281,383,258,261,93,108,69,17,630,816,94,5,3,369,78,251,423,236,116,86,6,3,3,3,13,1,2,4,8,1528
Budharpara,974,781,256,4,467,54,12,104,149,0,0,0,0,0,4,0,0,0,159,12,30,0,184,60,419,757,16,8,6.29,0.66,3.46,449,228,104,9,469,6,0,33,4,260,3361,980,0,1703,1658,0,223,541,698,646,509,356,228,120,40,1374,1749,191,12,7,469,222,572,1273,392,248,146,39,1,3,8,4,0,8,5,1,3331
Diha,827,528,82,3,355,88,116,15,47,1,3,1,2,0,3,0,0,0,28,17,13,0,0,226,281,513,6,9,12.66,114.28,4.31,373,139,15,128,349,2,0,10,4,35,2632,0,0,1441,1191,0,283,723,626,355,302,174,92,61,16,1421,1117,48,7,1,1138,332,465,488,114,43,50,2,0,2,0,3,0,0,0,0,2627
Bagmara,900,268,111,2,113,42,90,14,11,0,0,0,1,0,2,0,0,0,56,6,14,0,0,74,38,256,4,8,67.77,0.03,0.07,91,163,14,137,68,12,0,0,2,49,1279,0,0,673,606,0,145,297,329,173,151,105,48,25,6,651,580,33,1,1,497,35,265,399,49,23,11,0,2,0,0,0,2,5,1,4,1265
Raniswar,991,157,46,0,102,9,49,2,19,0,0,0,0,0,0,0,0,0,40,1,2,0,77,53,63,150,5,2,160.67,1.33,0.00,154,1,2,19,98,0,0,0,0,40,920,562,54,462,458,0,126,190,190,150,109,59,65,24,7,443,430,42,4,0,457,1,203,209,36,10,3,1,2,0,0,1,0,3,2,1,911
Khili,828,60,23,0,37,0,14,1,13,0,0,0,0,0,0,0,0,0,6,1,0,0,0,29,32,56,0,4,16.03,14.03,8.10,46,13,1,6,48,0,0,1,0,5,287,0,0,157,130,0,40,83,65,43,19,18,13,6,0,151,123,10,0,0,130,41,44,55,11,2,4,0,0,0,0,3,0,0,0,1,283
Nutangram,1084,91,12,1,66,12,20,1,2,0,0,0,0,0,1,0,0,0,31,3,6,0,0,34,55,89,1,1,3.50,19.25,0.00,90,0,1,15,63,1,1,0,1,10,396,0,0,190,206,0,45,87,95,54,58,33,18,6,0,188,183,12,3,1,120,26,93,120,27,7,3,0,0,4,0,0,0,1,1,0,390
Tikiapara,1056,374,19,8,334,13,35,2,11,1,0,0,0,0,8,0,0,0,159,12,33,0,165,201,312,371,3,0,0.00,3.04,19.60,361,11,2,6,329,3,0,0,8,28,1591,713,0,774,817,0,205,348,358,238,226,127,61,24,4,750,742,57,20,3,801,437,188,92,40,22,11,0,2,0,1,11,0,4,0,0,1573
Laksanpur,907,281,39,2,221,19,28,0,16,0,5,0,0,0,2,0,0,0,47,17,25,2,0,139,181,275,5,1,1.00,167.93,0.00,273,8,0,27,213,0,0,1,2,38,1348,0,0,707,641,0,186,360,333,169,130,88,52,26,4,716,564,38,0,0,600,61,306,333,32,11,4,1,4,0,0,3,0,2,3,6,1330
Bahara,928,396,38,21,222,115,132,2,15,6,3,5,2,0,20,0,0,1,94,7,11,1,5,103,117,386,4,6,93.25,114.51,346.74,294,100,2,122,151,0,0,0,20,103,1897,20,0,984,913,0,228,455,413,315,211,129,100,38,8,948,854,79,4,1,596,196,415,569,81,31,9,0,10,7,5,11,1,3,29,1,1830
