Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Muliarazi,826,248,26,0,168,54,77,2,14,1,1,0,1,0,0,0,0,0,70,13,9,0,0,83,122,245,0,3,88.43,88.43,0.33,220,26,2,48,144,0,0,0,0,56,1072,0,0,587,485,0,124,245,231,164,160,64,40,32,12,522,522,20,1,3,305,194,372,109,62,22,8,0,2,0,3,0,3,2,9,0,1053
Garabasa,981,275,28,8,229,10,46,11,20,8,3,0,2,0,8,0,0,0,60,7,9,1,0,167,199,275,0,0,2.66,80.15,0.00,256,8,11,38,207,0,0,0,8,22,1264,0,0,638,626,0,167,261,281,173,158,116,70,23,15,569,638,42,3,3,778,44,149,207,49,25,12,0,2,2,3,4,0,0,1,7,1245
Balia Danga,968,301,17,4,242,38,51,1,8,0,0,0,2,0,4,0,0,0,62,14,11,0,0,113,222,301,0,0,61.26,53.94,6.24,280,20,1,33,261,0,0,0,4,3,1238,0,0,629,609,0,154,258,270,158,176,94,78,39,11,544,530,92,3,5,390,111,334,283,91,17,10,2,0,0,0,0,2,1,3,4,1228
Hanumanta Nagar,951,369,29,1,293,46,54,6,14,2,2,0,1,0,0,0,0,1,14,25,20,0,2,184,225,364,1,4,0.66,41.61,0.00,272,90,6,44,243,0,0,20,0,62,1526,0,2,782,744,0,194,313,338,215,217,129,80,27,13,679,791,47,5,2,707,50,375,344,31,12,7,0,4,1,1,6,5,0,8,1,1500
Maharajpur,986,349,99,5,214,31,81,40,69,5,9,0,1,0,5,0,0,0,29,12,14,2,9,115,174,346,0,3,6.29,135.44,0.66,231,78,40,37,200,0,0,20,5,87,1541,53,0,776,765,0,142,313,341,249,215,151,75,40,15,671,781,64,5,6,622,48,213,422,114,76,45,1,7,2,2,4,2,3,4,5,1512
Jhanjha,1008,241,16,4,160,61,82,1,10,0,0,0,0,0,4,0,0,0,57,13,21,1,5,74,122,235,1,5,79.85,73.19,6.66,233,7,1,64,140,0,0,0,4,33,984,0,19,490,494,0,127,220,203,157,124,65,54,23,11,461,464,45,3,5,328,21,349,229,46,10,1,0,0,0,1,2,3,1,0,1,976
Purandarpur,964,879,80,11,642,146,186,10,47,1,2,0,5,0,11,0,0,0,151,44,46,1,0,327,513,869,2,8,189.75,152.65,158.44,801,68,10,130,659,0,0,11,11,68,3766,0,0,1918,1848,0,497,860,795,502,499,330,172,82,29,1789,1808,115,5,17,1214,459,943,822,247,50,29,2,7,4,5,3,5,6,4,7,3725
Ruhia,920,662,131,6,444,81,157,59,88,6,0,0,2,0,6,0,0,0,103,16,25,3,43,198,389,661,0,1,90.46,131.04,94.32,430,173,59,108,415,3,0,9,6,121,2934,77,130,1528,1406,0,295,639,622,519,393,246,128,71,21,1327,1363,94,8,9,950,200,531,826,199,94,129,5,1,1,3,3,5,8,4,24,2885
Kulbaria,967,1371,258,6,944,163,283,44,134,32,21,11,14,0,6,0,0,0,219,46,73,1,199,489,784,1343,8,20,2628.52,2527.41,604.40,842,485,44,159,921,10,0,41,7,233,5600,583,408,2847,2753,0,587,1172,1286,927,752,460,249,113,54,2508,2814,197,20,18,2080,326,1278,1408,291,142,65,10,4,6,6,11,13,5,9,6,5540
Muli,871,60,2,0,58,0,7,0,0,0,0,0,0,0,0,0,0,0,42,2,2,0,48,8,51,60,0,0,102.37,0.00,0.00,59,1,0,1,59,0,0,0,0,0,305,0,247,163,142,0,56,69,70,44,23,19,18,4,2,153,130,9,13,0,0,12,216,15,0,0,0,62,2,5,2,3,0,4,1,1,287
