Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Chaltia (CT),955,6121,2970,37,2620,494,650,1801,1773,15,41,6,15,0,31,1,4,1,490,125,218,8,1201,733,2242,5625,263,233,888.62,202906.61,776.40,2701,1619,1801,166,2576,153,0,403,31,2792,25082,6640,142,12829,12252,1,1602,3808,4875,4531,4075,3054,2009,802,326,9767,13348,1279,91,44,4505,2648,4213,5672,2985,2024,2724,311,27,10,17,72,14,33,22,36,24851
Pakuria,952,497,275,1,171,50,24,134,179,4,1,1,3,0,1,0,0,0,17,6,16,14,55,32,117,469,28,0,54.07,43.97,2.00,239,124,134,21,135,4,0,86,1,250,2083,429,4,1067,1016,0,116,266,429,359,388,285,149,70,21,803,1151,85,16,3,285,119,371,461,372,222,244,9,68,8,2,6,7,3,118,9,1862
Gar Baharampur (P),1016,327,274,0,41,12,1,167,260,0,1,0,1,0,0,0,0,0,2,3,12,0,19,6,21,316,11,0,20.00,10.00,10.00,50,110,167,0,28,2,0,101,0,196,1381,269,0,685,696,0,42,190,209,280,253,181,132,63,31,428,523,62,1,1,116,140,141,147,216,293,311,17,0,4,0,1,0,0,2,0,1374
Gora Bazar (CT),960,1300,1125,2,139,34,6,845,813,0,0,0,0,0,2,0,0,0,3,9,17,1,37,8,116,1176,122,1,3.53,2.21,2.21,178,277,845,1,155,10,1,201,3,929,5223,897,10,2665,2558,0,279,572,780,962,906,778,602,262,82,1922,2983,257,12,15,366,336,423,970,879,881,1266,102,2,9,3,7,3,2,5,5,5187
Total,958,8245,4644,40,2971,590,681,2947,3025,19,43,7,19,0,34,1,4,1,512,143,263,23,1312,779,2496,7586,424,234,966.22,202962.79,790.61,3168,2130,2947,188,2894,169,1,791,35,4167,33769,8235,156,17246,16522,1,2039,4836,6293,6132,5622,4298,2892,1197,460,12920,18005,1683,120,63,5272,3243,5148,7250,4452,3420,4545,439,97,31,22,86,24,38,147,50,33274
Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Baikunthapur,878,400,70,18,227,85,149,17,45,5,2,0,4,0,18,0,0,0,68,16,7,2,0,100,201,394,2,4,5.77,128.25,14.63,336,47,17,67,266,1,0,14,18,34,1902,0,0,1013,889,0,220,442,428,295,199,131,110,62,15,986,852,45,4,1,678,328,364,311,116,68,34,3,2,4,11,18,5,11,6,3,1842
Sundipur,915,1282,323,30,754,175,488,167,223,13,10,2,10,0,30,0,0,0,148,34,28,5,45,415,665,1274,4,4,367.18,550.51,51.27,901,214,167,262,799,9,7,80,31,94,5756,200,0,3005,2751,0,617,1259,1161,927,698,490,330,205,69,2666,2836,144,4,10,2209,927,1420,732,271,113,78,6,14,2,12,27,7,6,15,15,5658
Naopara,918,411,33,27,296,55,73,5,16,1,0,0,1,1,27,0,0,0,146,22,13,2,0,152,219,404,2,4,34.39,28.76,19.39,349,57,5,75,237,5,0,27,27,40,1646,0,0,858,788,0,171,342,363,267,209,135,83,53,23,750,826,55,10,0,773,235,245,282,77,27,7,0,16,6,3,7,3,2,8,6,1595
Panch Baria,1053,101,12,0,70,19,41,2,5,2,1,0,0,0,0,0,0,0,26,2,5,2,37,30,52,101,0,0,29.50,35.80,11.40,92,7,2,27,65,0,0,0,0,9,386,160,0,188,198,0,30,72,73,63,72,38,25,7,6,158,211,15,2,0,115,53,76,103,26,9,4,0,1,1,0,0,0,2,2,0,380
Simulia,945,782,107,36,535,104,255,27,60,22,14,1,7,0,36,0,0,0,237,28,16,4,202,128,442,780,1,1,49.84,417.70,21.20,618,137,27,221,477,3,0,2,36,43,3274,1004,0,1683,1591,0,247,656,618,538,505,333,208,115,54,1378,1722,129,9,4,918,388,798,763,281,85,40,1,6,9,3,19,1,1,24,3,3208
Bhatpara,924,392,44,18,296,34,86,22,23,0,0,0,1,0,18,0,0,0,94,10,7,3,0,144,275,389,2,1,50.19,60.41,301.28,332,38,22,70,292,0,0,4,18,8,1676,0,0,871,805,0,171,382,355,247,181,172,90,44,34,768,841,40,3,5,711,478,293,113,57,12,12,0,4,1,1,19,2,3,0,0,1646
Baninathpur,936,755,132,14,477,132,314,52,81,12,5,2,16,0,14,0,0,0,60,48,29,1,33,261,340,724,2,29,74.29,410.08,24.06,327,376,52,107,516,9,0,32,14,77,3022,112,0,1561,1461,0,308,748,547,478,349,233,189,107,63,1449,1455,88,7,6,1004,651,542,479,193,96,56,1,7,1,3,15,4,1,10,9,2972
Bezpara,935,1030,126,23,716,165,244,25,72,11,0,3,0,3,22,0,0,0,176,35,29,57,6,277,655,1021,1,5,185.92,177.77,66.42,953,52,25,175,761,1,0,9,22,62,4782,33,0,2471,2311,0,581,1139,960,734,578,364,235,139,52,2315,2294,127,10,9,1822,655,947,786,390,110,70,2,76,6,7,41,6,17,379,31,4219
Naoda Panur,900,1346,201,24,895,226,375,45,101,5,5,3,5,0,24,0,0,0,131,43,34,0,182,362,832,1306,1,39,353.14,223.87,73.30,1165,136,45,198,978,9,0,93,24,44,6084,779,5,3200,2881,3,692,1353,1292,933,755,480,305,215,59,2850,2996,185,14,5,1855,1459,1032,1186,324,125,94,9,9,5,9,16,7,7,13,3,6015
Total,921,6499,1048,190,4266,995,2025,362,626,71,37,11,44,4,189,0,0,0,1086,238,168,76,505,1869,3681,6393,15,87,1150.22,2033.15,582.95,5073,1064,362,1202,4391,37,7,261,190,411,28528,2288,5,14850,13675,3,3037,6393,5797,4482,3546,2376,1575,947,375,13320,14033,828,63,40,10085,5174,5717,4755,1735,645,395,22,135,35,49,162,35,50,457,70,27535
Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Debidaspur,936,455,218,1,220,16,82,4,24,0,0,0,1,0,0,0,1,0,112,6,15,0,98,105,194,439,4,12,106.31,1.84,0.62,423,26,4,7,412,2,0,0,1,33,1940,899,5,1002,938,0,228,413,405,353,245,156,99,35,6,892,928,81,18,2,609,615,93,502,67,21,13,20,2,1,0,4,2,1,0,1,1929
Nialish Para,902,390,105,0,242,43,27,32,65,1,1,1,1,0,0,0,0,0,35,15,17,4,142,69,215,376,13,1,29.40,22.74,8.66,279,79,32,0,231,26,1,69,0,63,1565,620,0,823,742,0,95,281,383,258,261,93,108,69,17,630,816,94,5,3,369,78,251,423,236,116,86,6,3,3,3,13,1,2,4,8,1528
Budharpara,974,781,256,4,467,54,12,104,149,0,0,0,0,0,4,0,0,0,159,12,30,0,184,60,419,757,16,8,6.29,0.66,3.46,449,228,104,9,469,6,0,33,4,260,3361,980,0,1703,1658,0,223,541,698,646,509,356,228,120,40,1374,1749,191,12,7,469,222,572,1273,392,248,146,39,1,3,8,4,0,8,5,1,3331
Diha,827,528,82,3,355,88,116,15,47,1,3,1,2,0,3,0,0,0,28,17,13,0,0,226,281,513,6,9,12.66,114.28,4.31,373,139,15,128,349,2,0,10,4,35,2632,0,0,1441,1191,0,283,723,626,355,302,174,92,61,16,1421,1117,48,7,1,1138,332,465,488,114,43,50,2,0,2,0,3,0,0,0,0,2627
Bagmara,900,268,111,2,113,42,90,14,11,0,0,0,1,0,2,0,0,0,56,6,14,0,0,74,38,256,4,8,67.77,0.03,0.07,91,163,14,137,68,12,0,0,2,49,1279,0,0,673,606,0,145,297,329,173,151,105,48,25,6,651,580,33,1,1,497,35,265,399,49,23,11,0,2,0,0,0,2,5,1,4,1265
Raniswar,991,157,46,0,102,9,49,2,19,0,0,0,0,0,0,0,0,0,40,1,2,0,77,53,63,150,5,2,160.67,1.33,0.00,154,1,2,19,98,0,0,0,0,40,920,562,54,462,458,0,126,190,190,150,109,59,65,24,7,443,430,42,4,0,457,1,203,209,36,10,3,1,2,0,0,1,0,3,2,1,911
Khili,828,60,23,0,37,0,14,1,13,0,0,0,0,0,0,0,0,0,6,1,0,0,0,29,32,56,0,4,16.03,14.03,8.10,46,13,1,6,48,0,0,1,0,5,287,0,0,157,130,0,40,83,65,43,19,18,13,6,0,151,123,10,0,0,130,41,44,55,11,2,4,0,0,0,0,3,0,0,0,1,283
Nutangram,1084,91,12,1,66,12,20,1,2,0,0,0,0,0,1,0,0,0,31,3,6,0,0,34,55,89,1,1,3.50,19.25,0.00,90,0,1,15,63,1,1,0,1,10,396,0,0,190,206,0,45,87,95,54,58,33,18,6,0,188,183,12,3,1,120,26,93,120,27,7,3,0,0,4,0,0,0,1,1,0,390
Tikiapara,1056,374,19,8,334,13,35,2,11,1,0,0,0,0,8,0,0,0,159,12,33,0,165,201,312,371,3,0,0.00,3.04,19.60,361,11,2,6,329,3,0,0,8,28,1591,713,0,774,817,0,205,348,358,238,226,127,61,24,4,750,742,57,20,3,801,437,188,92,40,22,11,0,2,0,1,11,0,4,0,0,1573
Laksanpur,907,281,39,2,221,19,28,0,16,0,5,0,0,0,2,0,0,0,47,17,25,2,0,139,181,275,5,1,1.00,167.93,0.00,273,8,0,27,213,0,0,1,2,38,1348,0,0,707,641,0,186,360,333,169,130,88,52,26,4,716,564,38,0,0,600,61,306,333,32,11,4,1,4,0,0,3,0,2,3,6,1330
Bahara,928,396,38,21,222,115,132,2,15,6,3,5,2,0,20,0,0,1,94,7,11,1,5,103,117,386,4,6,93.25,114.51,346.74,294,100,2,122,151,0,0,0,20,103,1897,20,0,984,913,0,228,455,413,315,211,129,100,38,8,948,854,79,4,1,596,196,415,569,81,31,9,0,10,7,5,11,1,3,29,1,1830
Fatepur,926,533,84,0,379,70,101,14,51,6,1,5,2,0,0,0,0,0,85,28,38,5,95,154,311,525,6,2,165.11,124.79,49.36,464,55,14,96,372,19,0,7,0,39,2421,505,0,1257,1164,0,266,518,567,371,288,204,118,66,23,1050,1099,96,6,7,674,541,423,546,151,51,34,1,10,5,0,13,0,3,9,8,2373
Bundhai Para,971,245,22,6,198,19,23,3,8,0,0,0,1,0,6,0,0,0,43,3,13,1,48,82,185,240,4,1,2.73,12.67,1.70,227,15,3,11,202,2,0,6,6,18,1027,211,0,521,506,0,95,182,222,176,143,105,56,39,9,435,518,47,3,2,417,198,164,136,58,34,18,2,1,1,0,14,0,7,0,2,1002
Goaljan (CT),995,1346,443,24,742,137,80,173,292,1,2,0,1,0,24,0,0,0,92,30,41,0,286,189,654,1293,36,17,3.90,90.78,104.19,951,222,173,32,746,4,0,0,24,540,6067,1755,0,3041,3026,0,479,929,1186,1126,913,650,443,234,107,2472,3100,341,33,10,1556,615,1329,1261,603,357,314,32,13,2,2,10,4,8,9,7,6012
Naoda,995,179,17,4,105,53,48,5,8,0,0,0,0,0,4,0,0,0,32,3,4,0,0,66,56,172,0,7,0.00,20.81,0.00,127,47,5,39,69,0,0,1,4,66,886,0,0,444,442,0,96,229,200,120,105,68,46,18,4,463,388,32,3,0,320,71,216,233,31,11,3,1,7,2,1,4,1,1,7,0,863
Total,948,6084,1515,76,3803,690,857,372,731,16,15,12,11,0,74,0,1,1,1019,161,262,13,1100,1584,3113,5898,107,79,668.62,708.69,546.81,4602,1107,372,654,3820,77,2,128,76,1327,27617,6265,59,14179,13438,0,2740,5636,6070,4547,3670,2365,1547,791,251,12584,13191,1201,119,38,8753,3469,5027,6639,1928,987,709,105,57,30,20,94,11,48,70,40,27247
